Date;Africa;Japan;Australia;Latinamerica;MiddleEast;Commodities;LongBond;ShortBond
01/01/2004;392,359;10676,64;248,876;297,651;101,47;209,46;116,655;112,249
02/01/2004;403,209;10676,64;250,368;301,863;101,37;211,86;115,941;111,93
05/01/2004;414,399;10825,17;252,667;315,85;101,66;216,82;115,998;111,963
06/01/2004;406,975;10813,99;256,085;317,108;101,75;215,07;116,904;112,487
07/01/2004;402,979;10757,82;254,58;315,041;101,81;214,22;116,943;112,691
08/01/2004;397,797;10837,65;255,64;317,747;102,4;217;116,917;112,792
09/01/2004;395,402;10965,05;257,112;319,549;101,86;217,56;117,911;113,612
12/01/2004;388,375;10965,05;257,015;322,168;101,7;216,81;118,11;113,801
13/01/2004;397,913;10849,68;256,959;321,886;101,43;214,6;117,766;113,559
14/01/2004;388,801;10863;257,78;317,146;101,51;214,16;117,577;113,4
15/01/2004;375,892;10665,15;254,941;314,129;101,38;210,37;117,915;113,59
16/01/2004;381,124;10857,2;252,297;314,308;101,45;214,62;117,518;113,45
19/01/2004;382,354;11036,33;249,308;315,31;101,54;214,62;117,185;113,381
20/01/2004;387,574;11103,1;254,223;319,761;102,06;217,58;117,586;113,658
21/01/2004;385,289;11002,39;256,336;316,466;102,42;217,12;117,329;113,41
22/01/2004;391,179;11000,7;259,385;315,192;102,83;216,9;117,629;113,569
23/01/2004;393,134;11069,01;259,532;316,406;102,57;216,1;118,555;114,103
26/01/2004;395,437;10972,6;258,73;320,991;101,22;214,57;117,089;113,288
27/01/2004;395,308;10928,03;257,981;321,307;101,48;213,59;117,509;113,538
28/01/2004;398,792;10852,47;254,924;315,854;102,67;212,94;117,593;113,488
29/01/2004;391,989;10779,44;248,454;299,576;102,9;210,45;116,04;112,475
30/01/2004;391,092;10783,61;249,242;299,2;102,9;212,72;116,962;112,761
02/02/2004;393,218;10776,73;248,459;300,918;102,9;213,75;116,979;112,847
03/02/2004;401,199;10641,92;250,262;304,705;102,9;213,35;117,074;112,952
04/02/2004;397,708;10447,25;248,443;303,059;103,46;211,62;117,311;113,1
05/02/2004;390,941;10464,6;249,789;295,991;104,13;212,82;117,488;113,255
06/02/2004;394,675;10460,92;251,64;303,162;103,88;212,79;117,862;113,521
09/02/2004;397,519;10402,61;255,143;306,007;104,5;213,71;117,843;113,59
10/02/2004;403,239;10365,4;256,247;307,052;104,84;214,51;117,909;113,606
11/02/2004;399,287;10365,4;257,656;313,767;104,44;215,66;118,124;113,672
12/02/2004;412,702;10459,26;263,219;317,713;105,13;217,2;118,045;113,771
13/02/2004;418,714;10557,69;264,286;314,968;105,01;217,9;118,357;113,912
16/02/2004;414,573;10548,72;264,138;314,563;106,38;217,9;118,331;113,879
17/02/2004;421,305;10701,13;266,466;318,764;106,25;220,62;118,582;114,097
18/02/2004;421,772;10676,81;266,888;316,822;106,04;219,04;118,291;114,144
19/02/2004;419,33;10753,8;265,142;309,326;106,01;220,14;117,39;113,696
20/02/2004;409,726;10720,69;260,545;306,561;105,94;218,56;117,473;113,649
23/02/2004;413,381;10868,96;258,861;307,145;104,81;218,62;117,422;113,669
24/02/2004;411,985;10644,13;259,927;307,302;104,62;220,81;118,164;114,101
25/02/2004;412,64;10658,73;259,01;308,404;104,77;222,48;117,95;114,096
26/02/2004;412,375;10815,29;258,071;308,975;104,46;223,75;117,988;114,055
